Signatory Progress Summary,,
First Signed Up To IATI,December 2011,
Frequency of Publication,Annually,
First Published Activity Files,October 2012,
First Published Organisation File,October 2012,
,,
,,
Publication of Key Attributes,,
,,
Attribute,Period or % of activity,Implementation Schedule Commitment
,,
Timeliness of Transaction Data,Can not calculate,Annually
,,
Frequency of Updates,Annually,Annually
,,
Transaction Alignment with recipient financial year,Annually,Not present in Implementation Schedule
,,
Budget Alignment with recipient financial year,Not Known,Not present in Implementation Schedule
,,
Unique Identifer,100,
,,
Use of Recipient Language,0,
,,
Start Date,99.45,
,,
End Date,99.45,
,,
Implementing Organisation,0,
,,
Geography,0,
,,
CRS Sector,0,
,,
Commitments,0,
,,
Disbursements & Expenditure,100,
,,
Traceable Income & Disbursements,0,Not present in Implementation Schedule
,,
Activity Documents,0,
,,
Text of Conditions,0,
,,
Results,0,
